Run,Patients_Seen,Mean_Q_Time_Consult_One,Mean_Q_Time_Consult_Two,Mean_Duration_Consult_One,Mean_Duration_Consult_Two,Mean_Duration_Diagnostics,Mean_Duration_Discharge,Mean_Time_UTC,Mean_Less4h
116,133,102.82455425898793,114.03258776375142,38.32055961249478,21.835809464992998,49.67085997845731,14.347822566398897,173.6283525558788,0.8045112781954887
117,159,78.52953959582199,93.92839359486364,35.32093426341349,20.888735922180043,43.37096109363933,13.451517357336531,140.23560868788573,0.9308176100628931
118,133,49.711550565103344,54.97394335974295,41.64513558991468,20.40857189144611,67.45389902526033,14.050404822862001,115.07271299658714,0.9398496240601504
119,145,161.7805216716611,174.66674959381533,39.402043441129855,10.02036641857989,36.21083388614258,13.349514403872938,228.24298675174555,0.5793103448275863
120,145,38.11619022736295,24.264518922201763,35.83138207337856,11.745741870322743,46.732318554010554,16.664158451401924,102.02450031718274,0.9655172413793104
121,153,121.3036998643476,143.47750600432173,35.27560138069459,23.716646762381654,39.055002161350636,15.232144431306017,194.72801844613198,0.7320261437908496
122,157,74.25328490104985,79.63982882762238,36.89489578461646,17.64240679613582,62.41725680265169,12.508765914909421,137.89766567044668,0.9426751592356688
123,157,19.589984550339015,30.107445508273383,32.81669650320184,13.611466366261974,50.529533304768755,14.724574042135432,74.33495791192883,0.9808917197452229
124,149,132.81510938094718,165.7365577069453,38.2145878438979,15.988037058227528,32.855616242745285,15.877381596409556,199.8682996203907,0.6510067114093959
125,159,47.87390905942702,42.20124164049882,34.1803646299075,16.20620301068615,30.70456808871301,14.619778236339721,106.20175140100926,0.9622641509433962
126,148,31.163771183667272,39.950701996831256,35.82330044376006,22.96327888978921,46.13809647237471,15.772120466485923,95.28544422298704,0.9527027027027027
127,168,57.32804561747538,63.62405588065731,33.622777663577914,17.15212470246523,31.861522612495666,15.318691692322536,117.66737779674196,0.9642857142857143
